EE_Code,Fund_Code,Fund_Code_Desc
A0WM,699,Crt Local Unrestricted
A0WM,609OTH-26,DSS CSBG Other
A0WM,609ACB-26,DSS CSBG Agency Capacity Building
A0A6,699,Crt Local Unrestricted
A0A6,609OTH-26,DSS CSBG Other
A167,382-26,HUD CRT PSH Consolidated
A167,556-26,DMHAS Next Step
A167,584-26,HUD Project Teach
A1M3,699,Crt Local Unrestricted
A1M3,609OTH-26,DSS CSBG Other
A1M3,609ACB-26,DSS CSBG Agency Capacity Building
A1VY,546-26,DSS Assurance 16
A1VY,524-26,DSS CEAP Admin
A1W0,363JOB-26,Job Corps
A1W0,363DOU-26,Douglas
A1W0,363RIT-26,Ritter
A12R,699,Crt Local Unrestricted
A12R,699,Crt Local Unrestricted
A01J,446-26,VA Veterans Crossing
A01J,567-25,VA SSFF FY25
A01J,611S-26,DSS HSI State
A01J,611F-26,DSS HIS Federal
A1HZ,699,Crt Local Unrestricted
A1HZ,609OTH-26,DSS CSBG Other
A16P,424VA-26,COH McKinney VA
A16P,424-26,COH McKinney
A1OK,694-26,Third Party Catering
A1OK,605C-26,Elderly Nutrition Congregate
A1OK,605HD-26,Elderly Nutrition Home Delivered
A17A,556-26,DMHAS Next Step
A17A,583-26,HUD H Pass Rapid Rehousing
A17A,382-26,HUD CRT PSH Consolidated
A17A,611S-26,DSS HSI State
A17A,306S-26,DOC Scattered Site Housing
A17A,584-26,HUD Project Teach
A0G2,694OTH-26,CRT - Other Catering
A0G2,694-26,Third Party Catering
A0G2,605C-26,Elderly Nutrition Congregate
A0G2,440-26,SDE CACFP ECE
A0G2,605HD-26,Elderly Nutrition Home Delivered
A0R0,295JS,Jackie Schaffer
A0R0,295WC,Wethersfield Commons
A0R0,295GF,Grant Families
A0XR,580DOH-26,DOH
A0XR,580HUD-26,HUD
A0LH,614AV-26,DSS FATHERHOOD-AV
A0LH,614SBG-26,DSS FATHERHOOD-SBG
A0LH,614HSI-26,DSS FATHERHOOD-HSI
A0LH,338-26,DMHAS Fatherhood
A0LH,609LNK-26,DSS CSBG Linkages
A0LH,337CC-26,OPM Project Longevity Care
A0LH,337H-26,OPM Project Longevity Housing
A1UB,638-25,Behavioral Health Services
A1UB,611F-26,DSS HIS Federal
A13R,599-26,SAMSHA 2.0
A13R,321-26,Htfd Health Community Responders
A1TF,363JOB-26,Job Corps
A1TF,363DOU-26,Douglas
A0OT,424VA-26,COH McKinney VA
A0OT,424-26,COH McKinney
A01S,699,Crt Local Unrestricted
A01S,295,CRT Local
A1HW,481-26,Village VITA Program
A1HW,618-26,CHFA Financial Literacy Program
A0ZI,363JOB-26,Job Corps
A0ZI,363DOU-26,Douglas
A0ZI,363RIT-26,Ritter
A1KU,694-26,Third Party Catering
A1KU,605HD-26,Elderly Nutrition Home Delivered
A041,699,Crt Local Unrestricted
A041,609ACB-26,DSS CSBG Agency Capacity Building
A0JP,611S-26,DSS HSI State
A0JP,618-26,CHFA Financial Literacy Program
A1PM,638-25,Behavioral Health Services
A1PM,599-26,SAMSHA 2.0
A1NC,440-26,SDE CACFP ECE
A1NC,694-26,Third Party Catering
A1NC,605HD-26,Elderly Nutrition Home Delivered
A1NC,605C-26,Elderly Nutrition Congregate
A1Z6,375SA-26,COH Ryan White Substance Abuse
A1Z6,625-26,COH Ryan White Part B
A1Z6,375MH-26,COH Ryan White Mental Health
A1Z6,781-26,DMHAS Asian Family Services
A1Z6,638-25,Behavioral Health Services
A00H,614AV-26,DSS FATHERHOOD-AV
A00H,614SBG-26,DSS FATHERHOOD-SBG
A00H,614HSI-26,DSS FATHERHOOD-HSI
A0XA,524-26,DSS CEAP Admin
A0XA,699,Crt Local Unrestricted
A1W7,638-25,Behavioral Health Services
A1W7,337H-26,OPM Project Longevity Housing
A13U,424VA-26,COH McKinney VA
A13U,424-26,COH McKinney
A14V,699,Crt Local Unrestricted
A14V,609ACB-26,DSS CSBG Agency Capacity Building
A14V,609OTH-26,DSS CSBG Other
A02U,295JS,Jackie Schaffer
A02U,295WC,Wethersfield Commons
A02U,295GF,Grant Families
A1CV,497-26,DMHAS Offender Reentry
A1CV,555-26,DMHAS Transitional Case Management
A0DT,694-26,Third Party Catering
A0DT,605HD-26,Elderly Nutrition Home Delivered
A0DT,605C-26,Elderly Nutrition Congregate
A1BY,694-25,Third Party Catering
A1BY,605C-26,Elderly Nutrition Congregate
A1BY,605HD-25,Elderly Nutrition Home Delivered
A1J0,424VA-26,COH McKinney VA
A1J0,424-26,COH McKinney
A0WK,613-26,DSS Limited English
A0WK,609LNK-26,DSS CSBG Linkages
A0WK,650-25,Retreat
A1GG,308S-26,DMHAS - Spanish
A1GG,598-26,SAMSHA HARP
A1GG,599-26,SAMSHA 2.0
A1S1,582-26,East Hartford Shelter
A1S1,582ESS-26,East Hartford Shelter ESS
A1SH,694-26,Third Party Catering
A1SH,605HD-26,Elderly Nutrition Home Delivered
A16B,699,Crt Local Unrestricted
A16B,609LNK-26,DSS CSBG Linkages
A0BF,605C-26,Elderly Nutrition Congregate
A0BF,440-26,SDE CACFP ECE
A0R2,580HUD-26,HUD
A0R2,382-26,HUD CRT PSH Consolidated
A0R2,584-26,HUD Project Teach
A0R2,583-26,HUD H Pass Rapid Rehousing
A0R2,339-26,HUD Permanent Supportive Housing
A216,424VA-26,COH McKinney VA
A216,582-26,East Hartford Shelter
A216,424-26,COH McKinney
A19M,699,Crt Local Unrestricted
A19M,699,Crt Local Unrestricted
A0UG,699,Crt Local Unrestricted
A0UG,524-26,DSS CEAP Admin
A0UG,609ACB-26,DSS CSBG Agency Capacity Building
A1RA,693-25,Womens Empowerment
A1RA,569-26,Project Moo
A1RA,401-26,PFT WOMEN EMPOWERING WOMEN
A1RA,609MD-26,DSS CSBG MULTIPLE DOMAINS
A1RA,609LNK-26,DSS CSBG Linkages
A1A8,583-26,HUD H Pass Rapid Rehousing
A1A8,584-26,HUD Project Teach
A1A8,382L-26,HUD CRT PSH Consolidated Local
A1A8,567-25,VA SSFF FY25
A1A8,524-26,DSS CEAP Admin
A1A9,584-26,HUD Project Teach
A1A9,382L-26,HUD CRT PSH Consolidated Local
A0VR,699,Crt Local Unrestricted
A0VR,609ACB-26,DSS CSBG Agency Capacity Building
A20Z,555-26,DMHAS Transitional Case Management
A20Z,599-26,SAMSHA 2.0
A00T,694-26,Third Party Catering
A00T,694OTH-26,CRT - Other Catering
A00T,605C-26,Elderly Nutrition Congregate
A00T,605HD-26,Elderly Nutrition Home Delivered
A00T,440-26,SDE CACFP ECE
A19S,524-26,DSS CEAP Admin
A19S,699,Crt Local Unrestricted
A0XH,497-26,DMHAS Offender Reentry
A0XH,613-26,DSS Limited English
A0XH,312-25,Access Health
A0XH,496-26,DMHAS Substance Abuse Outpatient
A0XH,781-26,DMHAS Asian Family Services
A0XH,321-26,Htfd Health Community Responders
A0XH,555-26,DMHAS Transitional Case Management
A0XH,355-26,Journey Home Unsheltered
A1U4,694-26,Third Party Catering
A1U4,440-26,SDE CACFP ECE
A1U4,694OTH-26,CRT - Other Catering
A1U4,605C-26,Elderly Nutrition Congregate
A1U4,605HD-26,Elderly Nutrition Home Delivered
A1WE,363DOU-26,Douglas
A1WE,363RIT-26,Ritter
A1R2,582ADM-26,East Hartford Shelter Admin
A1R2,582ESG-26,East Hartford Shelter ESG
A0GV,524-26,DSS CEAP Admin
A0GV,603-25,Hes IE
A0V3,496-26,DMHAS Substance Abuse Outpatient
A0V3,638-25,Behavioral Health Services
A1I7,357-26,HHS Affordable Housing
A1I7,650-25,Retreat
A12F,489-26,WA Youth Employment Skills Training
A12F,524-26,DSS CEAP Admin
A12F,611S-26,DSS HSI State
A08X,363RIT-26,Ritter
A20K,694-26,Third Party Catering
A20K,605HD-26,Elderly Nutrition Home Delivered
A0KN,363JOB-26,Job Corps
A0KN,363DOU-26,Douglas
A0KN,363RIT-26,Ritter
A1RL,424VA-26,COH McKinney VA
A1RL,424-26,COH McKinney
A0LF,524-26,DSS CEAP Admin
A0LF,699,Crt Local Unrestricted
A19K,699,Crt Local Unrestricted
A19K,609OTH-26,DSS CSBG Other
A1FU,699,Crt Local Unrestricted
A1FU,609ACB-26,DSS CSBG Agency Capacity Building
A1HY,699,Crt Local Unrestricted
A1IM,363RIT-26,Ritter
A1ZQ,650-25,Retreat
A1UZ,650-25,Retreat
A0TG,514-26,CAFCA SSBG
A0G8,363RIT-26,Ritter
A20R,306S-26,DOC Scattered Site Housing
A0K6,598-26,SAMSHA HARP
A0LL,583-26,HUD H Pass Rapid Rehousing
A10R,650-25,Retreat
A1DC,335-25,DSS Community Health Worker Grant
A1OO,699,Crt Local Unrestricted
A10O,582ESG-26,East Hartford Shelter ESG
A0T2,363DOU-26,Douglas
A03N,301-26,Deep Weatherization
A1FC,339-26,HUD Permanent Supportive Housing
A0F7,611S-26,DSS HSI State
A0P4,699,Crt Local Unrestricted
A0TJ,583-26,HUD H Pass Rapid Rehousing
A1JY,650-25,Retreat
A0KH,546-25,DSS Assurance 16
A0MF,712-25,CRT Print Center
A1ZX,363RIT-26,Ritter
A19E,363RIT-26,Ritter
A1YP,638-25,Behavioral Health Services
A05F,638-25,Behavioral Health Services
A05P,363DOU-26,Douglas
A0V2,650-25,Retreat
A1OP,650-25,Retreat
A0PL,332-25,Healthy Families
A1UP,699,Crt Local Unrestricted
A1FP,567-25,VA SSFF FY25
A0X9,424-26,COH McKinney
A0SW,567-25,VA SSFF FY25
A1FB,306S-26,DOC Scattered Site Housing
A1UT,363JOB-26,Job Corps
A0I9,611F-26,DSS HIS Federal
A0VT,650-25,Retreat
A1UK,363RIT-26,Ritter
A0QJ,321-26,Htfd Health Community Responders
A1FX,363RIT-26,Ritter
A0LP,337H-26,OPM Project Longevity Housing
A03R,363JOB-26,Job Corps
A192,321-26,Htfd Health Community Responders
A15F,447-26,VA GPD Case Management
A156,650-25,Retreat
A0UU,699,Crt Local Unrestricted
A11K,699,Crt Local Unrestricted
A1BH,699,Crt Local Unrestricted
A0BK,363RIT-26,Ritter
A0NK,582ESG-26,East Hartford Shelter ESG
A10P,699,Crt Local Unrestricted
A12B,524-26,DSS CEAP Admin
A1JN,424-26,COH McKinney
A1ZV,609ACB-26,DSS CSBG Agency Capacity Building
A0J3,301-26,Deep Weatherization
