EE Code,Fund Code,Fund Code Desc
A0WM,609ACB-26,DSS CSBG Agency Capacity Building
A1NP,295,CRT Local
A0A9,639-25,BHS Pharmacy
A11Z,424VA-26,COH McKinney VA
A217,605HD-26,Elderly Nutrition Home Delivered
A0OF,605HD-26,Elderly Nutrition Home Delivered
A0A6,609OTH-26,DSS CSBG Other
A167,584-26,HUD Project Teach
A1M3,609ACB-26,DSS CSBG Agency Capacity Building
A1VY,524-26,DSS CEAP Admin
A1W0,363RIT-26,Ritter
A12R,699,Crt Local Unrestricted
A01J,567-25,VA SSFF FY25
A1HZ,609OTH-26,DSS CSBG Other
A1Q4,605HD-26,Elderly Nutrition Home Delivered
A16P,424-26,COH McKinney
A1OK,605HD-26,Elderly Nutrition Home Delivered
A17A,584-26,HUD Project Teach
A1O8,605HD-26,Elderly Nutrition Home Delivered
A0G2,605HD-26,Elderly Nutrition Home Delivered
A1MS,605HD-26,Elderly Nutrition Home Delivered
A0WD,440-26,SDE CACFP ECE
A0R0,295GF,Grant Families
A0XR,580HUD-26,HUD
A0LH,337H-26,OPM Project Longevity Housing
A1UB,611F-26,DSS HIS Federal
A0NA,605HD-26,Elderly Nutrition Home Delivered
A13R,599-26,SAMSHA 2.0
A1TF,363DOU-26,Douglas
A0OT,424-26,COH McKinney
A1ZD,605HD-26,Elderly Nutrition Home Delivered
A01S,699,Crt Local Unrestricted
A1HW,481-26,Village VITA Program
A0ZI,363RIT-26,Ritter
A1KU,605HD-26,Elderly Nutrition Home Delivered
A122,605HD-26,Elderly Nutrition Home Delivered
A041,609ACB-26,DSS CSBG Agency Capacity Building
A0JP,618-26,CHFA Financial Literacy Program
A0IZ,605C-26,Elderly Nutrition Congregate
A1PM,638-25,Behavioral Health Services
A1NC,440-26,SDE CACFP ECE
A1Z6,638-25,Behavioral Health Services
A00H,614HSI-26,DSS FATHERHOOD-HSI
A0XA,699,Crt Local Unrestricted
A1W7,337H-26,OPM Project Longevity Housing
A0SU,699,Crt Local Unrestricted
A13U,424-26,COH McKinney
A0WQ,605HD-26,Elderly Nutrition Home Delivered
A0J4,605HD-26,Elderly Nutrition Home Delivered
A0I6,605HD-26,Elderly Nutrition Home Delivered
A14V,609ACB-26,DSS CSBG Agency Capacity Building
A02U,295GF,Grant Families
A1CV,555-26,DMHAS Transitional Case Management
A0DT,605C-26,Elderly Nutrition Congregate
A1BY,694-26,Third Party Catering
A1J0,424-26,COH McKinney
A0WK,650-25,Retreat
A1GG,599-26,SAMSHA 2.0
A1S1,582-26,East Hartford Shelter
A1SH,605HD-26,Elderly Nutrition Home Delivered
A16B,609LNK-26,DSS CSBG Linkages
A1TP,424-26,COH McKinney
A0BF,605C-26,Elderly Nutrition Congregate
A0R2,583-26,HUD H Pass Rapid Rehousing
A216,424-26,COH McKinney
A19M,699,Crt Local Unrestricted
A0UG,609ACB-26,DSS CSBG Agency Capacity Building
A1RA,401-26,PFT WOMEN EMPOWERING WOMEN
A1A8,584-26,HUD Project Teach
A1A9,584-26,HUD Project Teach
A03W,611F-26,DSS HIS Federal
A0VR,699,Crt Local Unrestricted
A20Z,599-26,SAMSHA 2.0
A00T,694-26,Third Party Catering
A0DR,605HD-26,Elderly Nutrition Home Delivered
A063,582ESG-26,East Hartford Shelter ESG
A19S,699,Crt Local Unrestricted
A0XH,355-26,Journey Home Unsheltered
A1U4,605C-26,Elderly Nutrition Congregate
A0CN,605HD-26,Elderly Nutrition Home Delivered
A1WE,363RIT-26,Ritter
A1R2,306S-25,DOC State Funded
A0GV,603-25,Hes IE
A0V3,496-26,DMHAS Substance Abuse Outpatient
A1I7,650-25,Retreat
A0UA,363RIT-26,Ritter
A12F,489-26,WA Youth Employment Skills Training
A08X,363RIT-26,Ritter
A20K,605HD-26,Elderly Nutrition Home Delivered
A0KN,363RIT-26,Ritter
A1RL,424-26,COH McKinney
A1VN,605HD-26,Elderly Nutrition Home Delivered
A0LF,699,Crt Local Unrestricted
A10M,605HD-26,Elderly Nutrition Home Delivered
A09P,605HD-26,Elderly Nutrition Home Delivered
A19K,609OTH-26,DSS CSBG Other
A1FU,609ACB-26,DSS CSBG Agency Capacity Building
A1JH,UNA,Unassigned
A18H,UNA,Unassigned
A1Q3,659-18,salaries 2017
A093,UNA,Unassigned
A1JM,650-20,Retreat
A0KK,650-21,Retreat
A1PG,699,Crt Local Unrestricted
A1JJ,UNA,Unassigned
A0O1,514-17,Cafcs Ssbg
A15M,638-17,Behavioral Health Services
A0XW,UNA,Unassigned
A1T4,524EI-24,CEAP Early Intake
A19C,650-25,Retreat
A1G9,650-25,Retreat
A00G,UNA,Unassigned
A18R,UNA,Unassigned
A04W,UNA,Unassigned
A0DD,UNA,Unassigned
A0ND,UNA,Unassigned
A0JL,UNA,Unassigned
A081,661-18,ACF HeadStart PA22
A0OR,524-17,Dss Ceap Admin
A163,UNA,Unassigned
A1CT,638-18,Behavioral Health Services
A08E,544-19,Oec Infanty Daycare
A1G0,638-24,Behavioral Health Services
A1HR,UNA,Unassigned
A1JI,UNA,Unassigned
A0Q6,UNA,Unassigned
A0DA,611F-23,DSS HSI Federal
A1HI,582ESG-23,Emergency Service Grant
A0M9,638-22,Behavioral Health Services
A0U2,647-18,Journey Home Navigator
A0IQ,699,Crt Local Unrestricted
A10Y,663-18,ECE Transition 
A1SO,544-25,OEC Infant Daycare
A0R8,544MID-19,ECE-Middletown
A0RH,567-19,Va Ssvf 
A1HY,699,Crt Local Unrestricted
A0HD,375SA-19,Coh Ryan White Substance Abuse
A0Y1,UNA,Unassigned
A19X,UNA,Unassigned
A1LA,UNA,Unassigned
A06B,UNA,Unassigned
A00D,524-22,Dss Ceap Admin
A0Z3,661-18,ACF HeadStart PA22
A0UC,419-17,Coh Sr Full Day
A1V0,669-18,CRT Local Unrestricted
A0ZR,661-18,ACF HeadStart PA22
A17W,UNA,Unassigned
A17S,650-20,Retreat
A0C3,UNA,Unassigned
A0NL,650-24,Retreat
A1OD,564HD-22,Home Delivered
A02X,605C-24,Elderly Nutrition Congregate
A0BV,599-24,SAMSHA 2.0
A11W,699,Crt Local Unrestricted
A1XW,544-19,Oec Infanty Daycare
A1Y4,561-18,Sde Summer Lunch
