Typecode,Typedesc
BON,BONUS
BRV,BEREAVEMENT
BSR,CLINICIAN BASE RATE
CDM,Medical Director-Children
CLN,CT Leave - No Pay
CSL,CT SICK LEAVE
EOM,EE OF MONTH
FML,FMLA
FMN,FMLA without Pay
FMP,FMLA PERSONAL
FMS,FMLA SICK
FMV,FMLA VACATION
GTR,Group Term Life
HLW,WORKED HOLIDAY
HOB,Floating 30 Day Holiday
HOL,HOLIDAY
IWT,Inclement Weather
JRY,Jury Duty
LNP,LEAVE NO PAY
O,Overtime
OT2,OVT 2ND SHIFT
OT3,OVT 3RD SHIFT
OTH,OTHER $
OTP,Other
P,Personal
PUC,PERSUNEXCCO
R,Regular
RET,RETROACTIVE
RS2,REG 2ND SHIFT
RS3,REG 3RD SHIFT
S,Excused Sick
SFM,Cliniciain Staff meeting
SNP,SICK NO PAY
SUC,Unexcused Sick
SUP,Clinician Supervision
TRN,TRAINING
V,Vacation
VUC,VACUNEXCCO
WMP,WORKERS COMP
X31,90832L PSYTX PT/FAM 30 MIN
X33,90832LNS PSYTX PT/FAM 30 MIN
X41,90834L PSYTX PT/FAM 45 MIN
X42,90834LS PSYTX PT/FAM 45 MIN
X61,90837L PSYTX PT/FAM 60 MIN
X63,90837LNS PSYTX PT/FAM 60 MIN
